label,level,F,G,H,allocation_vector,utilities_vector,log_utilities_vector,pruned,prune_reason
N55,5,28.2227,22.241,5.9817,"[4, None, 3, None, 0, 3, None, None, 2, None]","[389, 0, 162, 229, 311]","[5.9661, 0.0, 5.0938, 5.4381, 5.743]",False,
S171,6,27.8513,22.3863,5.465,"[4, None, 3, None, 0, 3, None, 0, 2, None]","[450, 0, 162, 229, 311]","[6.1115, 0.0, 5.0938, 5.4381, 5.743]",False,
S172,6,27.9785,26.2113,1.7672,"[4, None, 3, None, 0, 3, None, 1, 2, None]","[389, 52, 162, 229, 311]","[5.9661, 3.9703, 5.0938, 5.4381, 5.743]",False,
S173,6,27.876,22.4653,5.4107,"[4, None, 3, None, 0, 3, None, 2, 2, None]","[389, 0, 203, 229, 311]","[5.9661, 0.0, 5.3181, 5.4381, 5.743]",False,
S174,6,28.1027,22.6377,5.465,"[4, None, 3, None, 0, 3, None, 3, 2, None]","[389, 0, 162, 341, 311]","[5.9661, 0.0, 5.0938, 5.8348, 5.743]",False,
S175,6,28.0008,22.5358,5.465,"[4, None, 3, None, 0, 3, None, 4, 2, None]","[389, 0, 162, 229, 418]","[5.9661, 0.0, 5.0938, 5.4381, 6.0379]",False,
S50,5,28.0603,21.9773,6.083,"[4, None, 4, None, 0, 3, None, None, 2, None]","[389, 0, 162, 146, 374]","[5.9661, 0.0, 5.0938, 4.9904, 5.9269]",False,
N26,4,28.2952,17.4585,10.8366,"[4, None, None, None, 0, 3, None, None, 3, None]","[389, 0, 0, 313, 311]","[5.9661, 0.0, 0.0, 5.7494, 5.743]",False,
S64,5,28.0049,17.6868,10.3181,"[4, None, 0, None, 0, 3, None, None, 3, None]","[489, 0, 0, 313, 311]","[6.1944, 0.0, 0.0, 5.7494, 5.743]",False,
S65,5,28.0401,21.3706,6.6696,"[4, None, 1, None, 0, 3, None, None, 3, None]","[389, 49, 0, 313, 311]","[5.9661, 3.912, 0.0, 5.7494, 5.743]",False,
N27,5,28.2941,22.1029,6.1911,"[4, None, 2, None, 0, 3, None, None, 3, None]","[389, 0, 103, 313, 311]","[5.9661, 0.0, 4.6444, 5.7494, 5.743]",False,
S67,6,27.8691,22.2483,5.6209,"[4, None, 2, None, 0, 3, None, 0, 3, None]","[450, 0, 103, 313, 311]","[6.1115, 0.0, 4.6444, 5.7494, 5.743]",False,
S68,6,28.0097,26.0732,1.9364,"[4, None, 2, None, 0, 3, None, 1, 3, None]","[389, 52, 103, 313, 311]","[5.9661, 3.9703, 4.6444, 5.7494, 5.743]",False,
S69,6,27.9365,22.4353,5.5012,"[4, None, 2, None, 0, 3, None, 2, 3, None]","[389, 0, 144, 313, 311]","[5.9661, 0.0, 4.9767, 5.7494, 5.743]",False,
P6,6,28.0289,22.408,5.6209,"[4, None, 2, None, 0, 3, None, 3, 3, None]","[389, 0, 103, 425, 311]","[5.9661, 0.0, 4.6444, 6.0544, 5.743]",True,אי-היתכנות EF1
S70,6,28.0187,22.3978,5.6209,"[4, None, 2, None, 0, 3, None, 4, 3, None]","[389, 0, 103, 313, 418]","[5.9661, 0.0, 4.6444, 5.7494, 6.0379]",False,
P5,5,28.0112,17.6931,10.3181,"[4, None, 3, None, 0, 3, None, None, 3, None]","[389, 0, 0, 396, 311]","[5.9661, 0.0, 0.0, 5.9839, 5.743]",True,אי-היתכנות EF1
S66,5,27.9606,17.6425,10.3181,"[4, None, 4, None, 0, 3, None, None, 3, None]","[389, 0, 0, 313, 374]","[5.9661, 0.0, 0.0, 5.7494, 5.9269]",False,
S38,4,27.9424,17.0479,10.8945,"[4, None, None, None, 0, 3, None, None, 4, None]","[389, 0, 0, 146, 441]","[5.9661, 0.0, 0.0, 4.9904, 6.0913]",False,
N80,3,28.1812,12.1927,15.9885,"[4, None, None, None, 0, 4, None, None, None, None]","[389, 0, 0, 0, 505]","[5.9661, 0.0, 0.0, 0.0, 6.2265]",False,
S276,4,27.5817,12.5365,15.0452,"[4, None, None, None, 0, 4, None, None, 0, None]","[549, 0, 0, 0, 505]","[6.3099, 0.0, 0.0, 0.0, 6.2265]",False,
S277,4,28.0117,17.0905,10.9212,"[4, None, None, None, 0, 4, None, None, 1, None]","[389, 133, 0, 0, 505]","[5.9661, 4.8978, 0.0, 0.0, 6.2265]",False,
S278,4,28.1568,17.2864,10.8704,"[4, None, None, None, 0, 4, None, None, 2, None]","[389, 0, 162, 0, 505]","[5.9661, 0.0, 5.0938, 0.0, 6.2265]",False,
N81,4,28.1812,17.3166,10.8645,"[4, None, None, None, 0, 4, None, None, 3, None]","[389, 0, 0, 167, 505]","[5.9661, 0.0, 0.0, 5.124, 6.2265]",False,
S280,5,27.8634,17.5449,10.3185,"[4, None, 0, None, 0, 4, None, None, 3, None]","[489, 0, 0, 167, 505]","[6.1944, 0.0, 0.0, 5.124, 6.2265]",False,
S281,5,27.9073,21.2287,6.6787,"[4, None, 1, None, 0, 4, None, None, 3, None]","[389, 49, 0, 167, 505]","[5.9661, 3.912, 0.0, 5.124, 6.2265]",False,
N82,5,28.1812,21.961,6.2201,"[4, None, 2, None, 0, 4, None, None, 3, None]","[389, 0, 103, 167, 505]","[5.9661, 0.0, 4.6444, 5.124, 6.2265]",False,
S283,6,27.7275,22.1064,5.6211,"[4, None, 2, None, 0, 4, None, 0, 3, None]","[450, 0, 103, 167, 505]","[6.1115, 0.0, 4.6444, 5.124, 6.2265]",False,
S284,6,27.8753,25.9313,1.944,"[4, None, 2, None, 0, 4, None, 1, 3, None]","[389, 52, 103, 167, 505]","[5.9661, 3.9703, 4.6444, 5.124, 6.2265]",False,
S285,6,27.8092,22.2934,5.5158,"[4, None, 2, None, 0, 4, None, 2, 3, None]","[389, 0, 144, 167, 505]","[5.9661, 0.0, 4.9767, 5.124, 6.2265]",False,
S286,6,28.0928,22.4719,5.6209,"[4, None, 2, None, 0, 4, None, 3, 3, None]","[389, 0, 103, 279, 505]","[5.9661, 0.0, 4.6444, 5.6348, 6.2265]",False,
P33,6,27.774,22.1529,5.6211,"[4, None, 2, None, 0, 4, None, 4, 3, None]","[389, 0, 103, 167, 612]","[5.9661, 0.0, 4.6444, 5.124, 6.4184]",True,אי-היתכנות EF1
S282,5,28.0362,17.7181,10.3181,"[4, None, 3, None, 0, 4, None, None, 3, None]","[389, 0, 0, 250, 505]","[5.9661, 0.0, 0.0, 5.5255, 6.2265]",False,
P32,5,27.7525,17.434,10.3185,"[4, None, 4, None, 0, 4, None, None, 3, None]","[389, 0, 0, 167, 568]","[5.9661, 0.0, 0.0, 5.124, 6.3439]",True,אי-היתכנות EF1
S279,4,27.4666,12.4213,15.0452,"[4, None, None, None, 0, 4, None, None, 4, None]","[389, 0, 0, 0, 635]","[5.9661, 0.0, 0.0, 0.0, 6.4552]",False,
N84,1,28.1775,5.5294,22.6481,"[None, None, None, None, 1, None, None, None, None, None]","[0, 251, 0, 0, 0]","[0.0, 5.5294, 0.0, 0.0, 0.0]",False,
S290,2,28.1549,11.3465,16.8083,"[0, None, None, None, 1, None, None, None, None, None]","[335, 251, 0, 0, 0]","[5.8171, 5.5294, 0.0, 0.0, 0.0]",False,
S291,2,27.363,6.1003,21.2627,"[1, None, None, None, 1, None, None, None, None, None]","[0, 445, 0, 0, 0]","[0.0, 6.1003, 0.0, 0.0, 0.0]",False,
S292,2,27.9725,11.1642,16.8083,"[2, None, None, None, 1, None, None, None, None, None]","[0, 251, 279, 0, 0]","[0.0, 5.5294, 5.6348, 0.0, 0.0]",False,
S293,2,27.6432,10.7973,16.8459,"[3, None, None, None, 1, None, None, None, None, None]","[0, 251, 0, 193, 0]","[0.0, 5.5294, 0.0, 5.2679, 0.0]",False,
S294,2,28.0807,11.2724,16.8083,"[4, None, None, None, 1, None, None, None, None, None]","[0, 251, 0, 0, 311]","[0.0, 5.5294, 0.0, 0.0, 5.743]",False,
N16,1,28.3351,5.6937,22.6414,"[None, None, None, None, 2, None, None, None, None, None]","[0, 0, 296, 0, 0]","[0.0, 0.0, 5.6937, 0.0, 0.0]",False,
N18,2,28.3172,11.5108,16.8064,"[0, None, None, None, 2, None, None, None, None, None]","[335, 0, 296, 0, 0]","[5.8171, 0.0, 5.6937, 0.0, 0.0]",False,
S39,3,27.9008,11.9123,15.9885,"[0, None, None, None, 2, 0, None, None, None, None]","[501, 0, 296, 0, 0]","[6.2186, 0.0, 5.6937, 0.0, 0.0]",False,
S40,3,28.0511,16.3471,11.704,"[0, None, None, None, 2, 1, None, None, None, None]","[335, 125, 296, 0, 0]","[5.8171, 4.8363, 5.6937, 0.0, 0.0]",False,
S41,3,27.9815,11.993,15.9885,"[0, None, None, None, 2, 2, None, None, None, None]","[335, 0, 480, 0, 0]","[5.8171, 0.0, 6.1759, 0.0, 0.0]",False,
S42,3,28.1346,16.5013,11.6334,"[0, None, None, None, 2, 3, None, None, None, None]","[335, 0, 296, 146, 0]","[5.8171, 0.0, 5.6937, 4.9904, 0.0]",False,
N19,3,28.3172,16.7838,11.5334,"[0, None, None, None, 2, 4, None, None, None, None]","[335, 0, 296, 0, 194]","[5.8171, 0.0, 5.6937, 0.0, 5.273]",False,
S43,4,28.0169,17.1733,10.8436,"[0, None, None, None, 2, 4, None, None, 0, None]","[495, 0, 296, 0, 194]","[6.2066, 0.0, 5.6937, 0.0, 5.273]",False,
N74,4,28.189,21.6817,6.5074,"[0, None, None, None, 2, 4, None, None, 1, None]","[335, 133, 296, 0, 194]","[5.8171, 4.8978, 5.6937, 0.0, 5.273]",False,
S251,5,28.0241,21.9422,6.0819,"[0, None, 0, None, 2, 4, None, None, 1, None]","[435, 133, 296, 0, 194]","[6.0776, 4.8978, 5.6937, 0.0, 5.273]",False,
S252,5,27.9735,21.9933,5.9802,"[0, None, 1, None, 2, 4, None, None, 1, None]","[335, 182, 296, 0, 194]","[5.8171, 5.2095, 5.6937, 0.0, 5.273]",False,
S253,5,28.0613,21.9794,6.0819,"[0, None, 2, None, 2, 4, None, None, 1, None]","[335, 133, 399, 0, 194]","[5.8171, 4.8978, 5.9915, 0.0, 5.273]",False,
S254,5,28.111,26.1125,1.9985,"[0, None, 3, None, 2, 4, None, None, 1, None]","[335, 133, 296, 83, 194]","[5.8171, 4.8978, 5.6937, 4.4308, 5.273]",False,
S255,5,28.0292,21.9616,6.0676,"[0, None, 4, None, 2, 4, None, None, 1, None]","[335, 133, 296, 0, 257]","[5.8171, 4.8978, 5.6937, 0.0, 5.553]",False,
S44,4,28.0627,17.2192,10.8436,"[0, None, None, None, 2, 4, None, None, 2, None]","[335, 0, 458, 0, 194]","[5.8171, 0.0, 6.1291, 0.0, 5.273]",False,
N20,4,28.317,21.9078,6.4092,"[0, None, None, None, 2, 4, None, None, 3, None]","[335, 0, 296, 167, 194]","[5.8171, 0.0, 5.6937, 5.124, 5.273]",False,
L2,5,28.1665,22.1683,5.9982,"[0, None, 0, None, 2, 4, None, None, 3, None]","[435, 0, 296, 167, 194]","[6.0776, 0.0, 5.6937, 5.124, 5.273]",False,
S46,5,28.111,25.8198,2.2912,"[0, None, 1, None, 2, 4, None, None, 3, None]","[335, 49, 296, 167, 194]","[5.8171, 3.912, 5.6937, 5.124, 5.273]",False,
N63,5,28.2037,22.2055,5.9982,"[0, None, 2, None, 2, 4, None, None, 3, None]","[335, 0, 399, 167, 194]","[5.8171, 0.0, 5.9915, 5.124, 5.273]",False,
S203,6,27.8379,22.3724,5.4656,"[0, None, 2, None, 2, 4, None, 0, 3, None]","[396, 0, 399, 167, 194]","[5.9839, 0.0, 5.9915, 5.124, 5.273]",False,
S204,6,27.9437,26.1758,1.7678,"[0, None, 2, None, 2, 4, None, 1, 3, None]","[335, 52, 399, 167, 194]","[5.8171, 3.9703, 5.9915, 5.124, 5.273]",False,
S205,6,27.7687,22.3031,5.4656,"[0, None, 2, None, 2, 4, None, 2, 3, None]","[335, 0, 440, 167, 194]","[5.8171, 0.0, 6.089, 5.124, 5.273]",False,
