m,seed,rr_nash_log,rr_utilitarian,rr_egalitarian,rr_time,rr_is_ef1,rr_is_ef,astar_nash_log,astar_utilitarian,astar_egalitarian,astar_time,astar_nodes,astar_leaves,astar_solutions,astar_converged,astar_improved,astar_is_ef1,astar_is_ef
20,16,30.994873854071358,2539,329,6.914138793945312e-05,True,False,31.47432102678868,2723,463,0.6186645030975342,3513,1,1,True,True,True,True
20,17,31.240447606636856,2644,379,4.792213439941406e-05,True,False,31.645408214163655,2819,505,0.8309433460235596,4506,1,1,True,True,True,False
20,18,31.232193888132585,2621,394,4.887580871582031e-05,True,False,31.813930247702856,2915,494,0.06862139701843262,401,1,1,True,True,True,False
20,19,31.434781189226893,2777,382,4.8160552978515625e-05,True,False,31.9001831607363,2958,531,0.323394775390625,1549,1,1,True,True,True,True
20,20,30.88484001829819,2439,370,4.982948303222656e-05,True,False,31.587882293273786,2805,469,0.025417804718017578,154,1,1,True,True,True,False
20,21,31.263478700435822,2660,350,5.793571472167969e-05,True,False,31.626036143896734,2816,421,0.08728790283203125,499,1,1,True,True,True,False
20,22,31.002749206102525,2537,357,4.792213439941406e-05,True,False,31.70947264143436,2844,514,0.16186761856079102,925,1,1,True,True,True,False
20,23,31.095147228626182,2600,333,6.198883056640625e-05,True,False,31.771860960311535,2894,478,0.05217266082763672,314,1,1,True,True,True,False
20,24,31.42927687962831,2804,366,4.7206878662109375e-05,True,False,31.748708802292015,2878,507,0.4516408443450928,2634,1,1,True,True,True,True
20,25,31.14362627032019,2620,385,4.935264587402344e-05,True,False,31.844299555395544,2921,537,0.3407003879547119,1925,1,1,True,True,True,True
20,26,31.215672230980793,2654,350,4.76837158203125e-05,True,False,31.690601432996004,2828,527,0.1466376781463623,835,1,1,True,True,True,True
20,27,31.15561448844372,2611,342,4.76837158203125e-05,True,False,31.955126183652396,2990,513,0.022646427154541016,138,1,1,True,True,True,True
20,28,31.09851646798925,2612,345,7.724761962890625e-05,True,False,31.83359346492642,2917,513,0.17158770561218262,979,1,1,True,True,True,True
20,29,31.34334446862271,2736,370,4.792213439941406e-05,True,False,31.80808220873836,2915,472,0.12468266487121582,717,1,1,True,True,True,False
20,30,31.09657377655095,2581,338,4.839897155761719e-05,True,False,31.76764352779648,2874,530,0.022063016891479492,132,1,1,True,True,True,True
20,31,31.29690037189255,2677,341,4.76837158203125e-05,True,False,31.728864380494137,2861,483,0.17596077919006348,999,1,1,True,True,True,False
