label,level,F,G,H,allocation_vector,utilities_vector,log_utilities_vector,pruned,prune_reason
S104,6,28.074,22.6693,5.4047,"[0, 4, None, 3, None, 2, 4, 2, None, None]","[175, 0, 270, 357, 409]","[5.1705, 0.0, 5.6021, 5.8805, 6.0162]",False,
S19,5,28.3641,22.363,6.001,"[0, None, None, 3, None, 2, 4, 3, None, None]","[175, 0, 197, 402, 366]","[5.1705, 0.0, 5.2883, 5.9989, 5.9054]",False,
S20,5,28.4824,22.4813,6.001,"[0, None, None, 3, None, 2, 4, 4, None, None]","[175, 0, 197, 357, 464]","[5.1705, 0.0, 5.2883, 5.8805, 6.142]",False,
N9,4,28.6253,22.1176,6.5077,"[1, None, None, 3, None, 2, 4, None, None, None]","[0, 154, 197, 357, 366]","[0.0, 5.0434, 5.2883, 5.8805, 5.9054]",False,
S25,5,28.5024,26.5602,1.9421,"[1, None, None, 3, None, 2, 4, 0, None, None]","[84, 154, 197, 357, 366]","[4.4427, 5.0434, 5.2883, 5.8805, 5.9054]",False,
N10,5,28.5995,22.68,5.9196,"[1, None, None, 3, None, 2, 4, 1, None, None]","[0, 271, 197, 357, 366]","[0.0, 5.6058, 5.2883, 5.8805, 5.9054]",False,
S29,6,28.4246,26.8995,1.5251,"[1, 0, None, 3, None, 2, 4, 1, None, None]","[67, 271, 197, 357, 366]","[4.2195, 5.6058, 5.2883, 5.8805, 5.9054]",False,
S30,6,28.2971,22.906,5.3911,"[1, 1, None, 3, None, 2, 4, 1, None, None]","[0, 340, 197, 357, 366]","[0.0, 5.8319, 5.2883, 5.8805, 5.9054]",False,
S31,6,28.4192,23.1021,5.3171,"[1, 2, None, 3, None, 2, 4, 1, None, None]","[0, 271, 301, 357, 366]","[0.0, 5.6058, 5.7104, 5.8805, 5.9054]",False,
S32,6,28.3539,22.9627,5.3911,"[1, 3, None, 3, None, 2, 4, 1, None, None]","[0, 271, 197, 474, 366]","[0.0, 5.6058, 5.2883, 6.1633, 5.9054]",False,
S33,6,28.1819,22.7908,5.3911,"[1, 4, None, 3, None, 2, 4, 1, None, None]","[0, 271, 197, 357, 409]","[0.0, 5.6058, 5.2883, 5.8805, 6.0162]",False,
