m,seed,rr_nash_log,rr_utilitarian,rr_egalitarian,rr_time,rr_is_ef1,rr_is_ef,astar_nash_log,astar_utilitarian,astar_egalitarian,astar_time,astar_nodes,astar_leaves,astar_solutions,astar_converged,astar_improved,astar_is_ef1,astar_is_ef,rr_player_order
30,36,33.347414161917435,3996,613,7.510185241699219e-05,True,False,33.58094954894796,4128,780,1.1878769397735596,6175,1,1,True,True,True,True,"[1, 2, 4, 0, 3]"
30,37,33.172453741991994,3827,644,7.677078247070312e-05,True,False,33.7189251775144,4246,795,0.6513946056365967,3610,1,1,True,True,True,True,"[2, 4, 0, 1, 3]"
30,38,33.621462937648765,4233,561,7.653236389160156e-05,True,False,33.84508444585897,4375,791,4.738184213638306,21584,1,1,True,True,True,False,"[2, 1, 3, 0, 4]"
30,39,33.41988874190558,4027,625,7.486343383789062e-05,True,False,33.70536263204546,4231,796,3.172544240951538,16385,1,1,True,True,True,True,"[0, 3, 1, 2, 4]"
30,40,33.135568349154795,3813,603,0.0001261234283447,True,False,33.510595636816554,4078,737,9.968700170516968,39617,1,1,True,True,True,True,"[2, 1, 4, 3, 0]"
30,41,33.471694650518046,4060,653,7.700920104980469e-05,True,False,33.67414271031381,4211,758,0.1326520442962646,664,1,1,True,True,True,False,"[1, 2, 0, 3, 4]"
30,42,33.380474510494075,4000,629,7.534027099609375e-05,True,False,33.79890493089231,4317,785,1.3000504970550537,6036,1,1,True,True,True,True,"[1, 0, 2, 3, 4]"
30,43,33.21602307648941,3880,611,0.0001885890960693,True,False,33.580741195233095,4129,770,0.2169737815856933,826,1,1,True,True,True,True,"[2, 1, 4, 3, 0]"
30,44,33.407873146374115,4014,659,0.0001213550567626,True,False,33.407873146374115,4014,659,15.000228643417358,62639,0,0,False,False,True,False,"[2, 0, 3, 1, 4]"
30,45,33.13491016044113,3805,603,7.62939453125e-05,True,False,33.5747631553525,4120,792,0.7071490287780762,3997,1,1,True,True,True,True,"[3, 0, 1, 2, 4]"
30,46,33.632227004101736,4199,650,0.0001115798950195,True,False,33.7417038817693,4259,836,0.3103089332580566,1771,1,1,True,True,True,True,"[1, 0, 4, 2, 3]"
30,47,33.54859171427946,4137,648,7.510185241699219e-05,True,False,33.702876796791635,4231,763,0.1528809070587158,879,1,1,True,True,True,True,"[4, 1, 0, 3, 2]"
