m,seed,rr_nash_log,rr_utilitarian,rr_egalitarian,rr_time,astar_nash_log,astar_utilitarian,astar_egalitarian,astar_time,astar_nodes,astar_leaves,astar_solutions,astar_converged,astar_improved,astar_is_ef1
40,3,34.926619255080766,5434,945,0.00010251998901367188,35.260037697067084,5779,1070,0.07054638862609863,387,1,1,True,True,True
40,4,35.048531639684846,5560,1006,8.988380432128906e-05,35.250368064866024,5762,1122,5.547945976257324,34148,1,1,True,True,True
40,5,35.14396767837682,5684,1043,0.00011968612670898438,35.40467531185671,5948,1104,0.21738672256469727,1592,1,1,True,True,True
40,6,34.964554886191664,5483,1016,8.96453857421875e-05,34.964554886191664,5483,1016,15.234002113342285,85856,0,0,False,False,True
40,7,35.1830307259027,5706,1045,9.250640869140625e-05,35.37309358240982,5908,1114,2.032348155975342,14389,1,1,True,True,True
40,8,35.11874970318861,5617,1042,9.322166442871094e-05,35.35627691709683,5886,1130,0.04074239730834961,296,1,1,True,True,True
40,9,34.93602078759672,5447,859,0.000110626220703125,34.93602078759672,5447,859,15.000099658966064,86948,0,0,False,False,True
40,10,34.766042355407905,5243,938,0.0001494884490966797,34.99272817411606,5488,1004,9.6363205909729,60128,1,1,True,True,True
40,11,34.8995378614744,5394,963,0.00012993812561035156,34.8995378614744,5394,963,15.000074625015259,91370,0,0,False,False,True
40,12,35.01194060439023,5515,996,0.00012159347534179688,35.301385561502585,5827,1107,0.13092660903930664,960,1,1,True,True,True
40,13,35.141538060860746,5654,1001,9.465217590332031e-05,35.141538060860746,5654,1001,15.000059843063354,91506,0,0,False,False,True
40,14,35.07652633712292,5590,986,9.608268737792969e-05,35.38510613948497,5923,1134,1.6194896697998047,11080,1,1,True,True,True
40,15,35.00513309367808,5500,1038,0.00012111663818359375,35.22107025655729,5732,1078,0.6768946647644043,4706,1,1,True,True,True
40,16,34.99282815950364,5482,1018,9.369850158691406e-05,34.99282815950364,5482,1018,15.000090837478638,91917,0,0,False,False,True
40,17,34.98333171102101,5492,911,9.083747863769531e-05,35.30452304695937,5837,1047,14.28822636604309,86902,1,1,True,True,True
40,18,34.957646936169155,5444,1013,0.00012373924255371094,34.957646936169155,5444,1013,15.000099420547485,89105,0,0,False,False,True
40,19,34.84559641382878,5339,901,9.489059448242188e-05,35.11090644648584,5602,1088,2.8052661418914795,19142,1,1,True,True,True
40,20,34.87540562088997,5359,941,9.179115295410156e-05,34.87540562088997,5359,941,15.000075578689575,95090,0,0,False,False,True
40,21,35.04423178200675,5561,962,9.655952453613281e-05,35.29760992833964,5833,1052,3.144495725631714,21906,1,1,True,True,True
40,22,34.83187255537066,5323,917,8.869171142578125e-05,34.83187255537066,5323,917,15.000016450881958,97477,0,0,False,False,True
40,23,34.785035129169465,5286,893,9.751319885253906e-05,35.09811072160748,5591,1066,1.0290696620941162,7392,1,1,True,True,True
40,24,34.99259559292065,5506,918,9.107589721679688e-05,35.23097884894815,5749,1061,0.8301112651824951,6170,1,1,True,True,True
40,25,35.028952293785146,5519,1027,9.679794311523438e-05,35.32567565024931,5850,1130,2.3468902111053467,16533,1,1,True,True,True
40,26,34.90251974921546,5377,1008,9.179115295410156e-05,35.17068740788576,5673,1087,2.2411510944366455,15858,1,1,True,True,True
40,27,34.86825621507426,5377,866,0.00010323524475097656,34.86825621507426,5377,866,15.000187873840332,96964,0,0,False,False,True
40,28,34.72139349000223,5192,949,9.393692016601562e-05,34.72139349000223,5192,949,15.00002932548523,100085,0,0,False,False,True
40,29,34.9159420273371,5408,938,9.012222290039062e-05,35.26811320828311,5790,1063,6.770397663116455,46106,1,1,True,True,True
40,30,35.003545217109945,5501,977,9.489059448242188e-05,35.16227164514976,5664,1051,1.6035172939300537,11271,1,1,True,True,True
40,31,35.05299408295178,5561,958,9.202957153320312e-05,35.31558864399636,5838,1104,8.376288890838623,54213,1,1,True,True,True
40,32,35.24920063844074,5767,1068,0.00012993812561035156,35.47026330204629,6028,1150,12.406559228897095,77140,1,1,True,True,True
40,33,35.057384545063876,5557,1012,9.298324584960938e-05,35.057384545063876,5557,1012,15.000009059906006,96218,0,0,False,False,True
40,34,35.134750479000694,5634,1086,9.465217590332031e-05,35.36233058711753,5900,1096,7.2764973640441895,46924,1,1,True,True,True
